Velocity/(rpm),Current/(A),Current/(A),Current/(A),Angle/(rad),Angle/(rad),Tem/(Nm),Current/(A),Current/(A),Current/(A),Current/(A),Force/(N),Force/(N),Force/(N),Force/(N),Displacement/(um),Displacement/(um),Velocity/(m/s),Velocity/(m/s),Angle/(rad)
493.864370,0.000000,14.926701,0.000000,0.184487,0.184487,0.049428,0.000000,0.000000,0.000000,0.000000,0.318491,0.000000,-0.096762,0.000000,-0.074432,0.000000,-0.000153,0.000000,-0.122173
498.481721,0.000000,14.955855,0.000000,0.185526,0.185526,0.049533,0.000000,0.000000,0.000000,0.000000,0.318491,0.000000,-0.100819,0.000000,-0.077553,0.000000,-0.000159,0.000000,-0.122173
503.093374,0.000000,15.076378,0.000000,0.186576,0.186576,0.050242,0.000000,0.000000,0.000000,0.000000,0.318491,0.000000,-0.105035,0.000000,-0.080796,0.000000,-0.000165,0.000000,-0.122173
507.721177,0.000000,14.916708,0.000000,0.187634,0.187634,0.049089,0.000000,0.000000,0.000000,0.000000,0.387887,0.000000,-0.109413,0.000000,-0.084164,0.000000,-0.000172,0.000000,-0.122173
512.305688,0.000000,14.944803,0.000000,0.188703,0.188703,0.049176,0.000000,0.000000,0.000000,0.000000,0.387887,0.000000,-0.113962,0.000000,-0.087663,0.000000,-0.000178,0.000000,-0.122173
516.883176,0.000000,15.063152,0.000000,0.189781,0.189781,0.049856,0.000000,0.000000,0.000000,0.000000,0.387887,0.000000,-0.118687,0.000000,-0.091297,0.000000,-0.000185,0.000000,-0.122173
521.475050,0.000000,14.905046,0.000000,0.190868,0.190868,0.048710,0.000000,0.000000,0.000000,0.000000,0.387887,0.000000,-0.123594,0.000000,-0.095072,0.000000,-0.000192,0.000000,-0.122173
526.044419,0.000000,14.930161,0.000000,0.191966,0.191966,0.048766,0.000000,0.000000,0.000000,0.000000,0.387887,0.000000,-0.128691,0.000000,-0.098993,0.000000,-0.000200,0.000000,-0.122173
530.604391,0.000000,15.044521,0.000000,0.193072,0.193072,0.049402,0.000000,0.000000,0.000000,0.000000,0.471581,0.000000,-0.133985,0.000000,-0.103065,0.000000,-0.000207,0.000000,-0.122173
535.156882,0.000000,15.157148,0.000000,0.194189,0.194189,0.050024,0.000000,0.000000,0.000000,0.000000,0.471581,0.000000,-0.139483,0.000000,-0.107294,0.000000,-0.000215,0.000000,-0.122173
539.638878,0.000000,14.917246,0.000000,0.195314,0.195314,0.048332,0.000000,0.000000,0.000000,0.000000,0.471581,0.000000,-0.145192,0.000000,-0.111686,0.000000,-0.000224,0.000000,-0.122173
544.157006,0.000000,15.029813,0.000000,0.196450,0.196450,0.048937,0.000000,0.000000,0.000000,0.000000,0.471581,0.000000,-0.151122,0.000000,-0.116248,0.000000,-0.000232,0.000000,-0.122173
548.666174,0.000000,15.140720,0.000000,0.197594,0.197594,0.049527,0.000000,0.000000,0.000000,0.000000,0.471581,0.000000,-0.157280,0.000000,-0.120985,0.000000,-0.000241,0.000000,-0.122173
553.165777,0.000000,14.897714,0.000000,0.198748,0.198748,0.047822,0.000000,0.000000,0.000000,0.000000,0.572476,0.000000,0.668958,0.469006,-0.125667,0.000136,-0.000227,0.000014,-0.122173
